Frame Number,Num Objects,Variance of # Objects,Num Zero IoU,Average Non-zero IoU
254,22,-4,0,0.47
255,22,-4,0,0.47
256,22,-4,0,0.53
257,22,-4,0,0.51
258,21,-4,0,0.50
259,23,-4,0,0.46
260,22,-4,0,0.48
261,23,-4,0,0.45
262,22,-4,0,0.44
263,21,-4,0,0.46
264,21,-4,0,0.46
265,21,-3,0,0.49
266,22,-4,0,0.47
267,22,-4,0,0.47
268,21,-4,0,0.46
269,21,-4,0,0.46
270,21,-4,0,0.45
271,22,-4,0,0.46
272,22,-4,0,0.44
273,23,-4,0,0.45
274,24,-4,0,0.42
275,20,-4,0,0.49
276,20,-4,0,0.50
277,22,-4,0,0.47
278,23,-3,0,0.43
279,23,-3,0,0.44
280,21,-4,0,0.45
281,22,-4,0,0.46
282,25,-5,0,0.46
283,26,-5,0,0.44
284,24,-5,0,0.41
285,24,-5,1,0.43
286,23,-5,1,0.45
287,25,-4,1,0.41
288,24,-4,1,0.42
289,22,-4,1,0.46
290,22,-4,1,0.46
291,23,-4,1,0.46
292,22,-4,1,0.46
293,23,-3,0,0.45
294,23,-3,0,0.46
295,24,-3,0,0.43
296,23,-3,0,0.43
297,24,-4,1,0.41
298,25,-3,1,0.42
299,27,-4,1,0.39
300,24,-3,0,0.42
301,25,-3,0,0.41
302,27,-2,1,0.41
303,28,-3,1,0.39
304,27,-3,1,0.42
305,25,-2,0,0.42
306,25,-1,0,0.42
307,22,-1,1,0.44
308,25,0,1,0.44
309,25,1,2,0.46
310,25,0,1,0.44
311,25,1,1,0.44
312,25,2,1,0.44
313,25,3,1,0.43
314,25,2,1,0.43
315,25,1,1,0.42
316,25,1,1,0.41
317,25,1,1,0.41
318,25,1,1,0.41
319,12,-6,0,0.10
320,11,-6,0,0.10
321,11,-6,0,0.10
322,12,-6,0,0.09
323,12,-6,0,0.09
324,12,-6,0,0.09
325,12,-6,0,0.09
